Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
"Average per farm  ............................................... dollars, 2012","415,744","595,487","427,786","539,162","300,295","394,144","522,628",,"358,320",,,,
2007,"428,757","470,286","308,364","467,056","361,531","355,675","415,764",,"343,441",,,,
"Average per acre  ............................................... dollars, 2012","3,097","2,450","5,238","4,270","1,928","3,066","2,779",,"3,668",,,,
2007,"3,233","2,541","4,041","4,099","2,441","3,108","2,470",,"3,774",,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",42,50,27,30,31,92,33,,37,,,,
"$50,000 to $99,999  .................................................................",73,101,43,29,57,112,36,,42,,,,
"$100,000 to $199,999  .............................................................",161,248,106,82,101,232,88,,165,,,,
"$200,000 to $499,999  .............................................................",307,232,187,155,152,339,156,,271,,,,
"$500,000 to $999,999  .............................................................",87,41,88,59,34,106,67,,65,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",27,20,32,42,12,45,28,,37,,,,
"$2,000,000 to $4,999,999  .......................................................",16,17,8,15,3,17,11,,7,,,,
"$5,000,000 to $9,999,999  .......................................................",3,12,2,2,1,1,4,,1,,,,
"$10,000,000 or more  ..............................................................",1,11,-,1,-,1,1,,-,,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","170,006","383,519","218,370","193,560","182,871","278,131","151,383",,"278,138",,,,
"Proportion in farms  ........................................... percent, 2012",56.6,46.4,18.4,27.1,33.3,43.7,52.7,,22,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,29,16,40,24,8,33,10,,28,,,,
acres,123,110,205,127,46,171,48,,131,,,,
10 to 49 acres  ................................................................ farms,234,213,215,137,119,310,90,,221,,,,
acres,"6,078","6,475","5,633","3,676",(D),"9,106","2,640",,(D),,,,
50 to 69 acres  ................................................................ farms,75,87,64,61,29,131,44,,84,,,,
acres,"4,303","4,991","3,673","3,581","1,670","7,646","2,452",,"4,917",,,,
70 to 99 acres  ................................................................ farms,86,83,41,41,40,114,54,,85,,,,
acres,"7,259","6,873","3,449","3,528","3,354","9,563","4,502",,"6,962",,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,86,92,52,46,63,111,62,,79,,,,
acres,"9,812","10,619","6,168","5,305","7,192","12,667","7,246",,"9,109",,,,
140 to 179 acres  ............................................................ farms,54,66,31,29,37,61,28,,42,,,,
acres,"8,371","10,447","4,835","4,646","5,849","9,525","4,459",,"6,525",,,,
180 to 219 acres  ............................................................ farms,43,41,17,21,22,45,27,,25,,,,
acres,"8,496","8,033","3,423","4,257","4,367","8,832","5,279",,"4,993",,,,
220 to 259 acres  ............................................................ farms,20,35,9,11,20,40,17,,17,,,,
acres,"4,670","8,176","2,143","2,580","4,854","9,578","4,068",,"4,137",,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,64,41,16,33,36,66,59,,38,,,,
acres,"22,007","13,391","5,308","12,195","12,839","21,820","19,409",,"12,770",,,,
500 to 999 acres  ............................................................ farms,20,26,8,8,12,25,26,,4,,,,
acres,"13,764","16,191","5,429","5,341","8,550","16,546","15,984",,"2,564",,,,
"1,000 to 1,999 acres  ...................................................... farms",3,14,-,3,3,6,3,,2,,,,
acres,"4,445","17,673",-,(D),"4,499","7,115","4,558",,(D),,,,
"2,000 acres or more ....................................................... farms",3,18,-,1,2,3,4,,-,,,,
acres,"6,934","74,952",-,(D),(D),"8,912","9,100",,-,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,60,36,46,38,14,53,17,,35,,,,
acres,(D),170,(D),227,66,313,(D),,151,,,,
10 to 49 acres  ................................................................ farms,269,344,259,202,132,397,104,,290,,,,
acres,"7,003","9,920","6,986","5,295","4,206","11,543","2,867",,"7,417",,,,
50 to 69 acres  ................................................................ farms,86,101,57,51,58,151,47,,89,,,,
acres,"4,940","5,809","3,276","2,961","3,413","8,534","2,684",,"5,170",,,,
70 to 99 acres  ................................................................ farms,101,122,52,77,54,145,53,,81,,,,
acres,"8,391","9,974","4,321","6,491","4,479","12,180","4,335",,"6,618",,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,107,93,28,63,69,113,62,,78,,,,
acres,"12,490","10,966","3,265","7,416","7,893","13,037","7,076",,"9,137",,,,
140 to 179 acres  ............................................................ farms,61,62,29,42,49,63,35,,36,,,,
acres,"9,436","9,690","4,584","6,711","7,647","9,740","5,560",,"5,492",,,,
180 to 219 acres  ............................................................ farms,47,59,15,22,27,39,24,,28,,,,
acres,"9,444","11,707","2,997","4,253","5,296","7,719","4,682",,"5,571",,,,
220 to 259 acres  ............................................................ farms,42,26,8,11,23,31,19,,23,,,,
acres,"9,837","6,149","1,888","2,584",(D),"7,284","4,610",,(D),,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,68,70,12,31,36,65,65,,36,,,,
acres,"24,646","23,328","4,494","12,094","11,928","23,043","22,057",,"12,119",,,,
500 to 999 acres  ............................................................ farms,32,30,9,14,13,23,34,,8,,,,
acres,"19,191","19,157","6,150","9,324","8,452","15,101","20,690",,"5,179",,,,
"1,000 to 1,999 acres  ...................................................... farms",6,11,1,2,7,9,1,,1,,,,
acres,"8,532","15,183",(D),(D),"8,492",(D),(D),,(D),,,,
"2,000 acres or more ....................................................... farms",1,17,-,1,2,1,1,,-,,,,
acres,(D),"57,650",-,(D),(D),(D),(D),,-,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  .............................................................. farms, 2012",495,572,356,303,324,797,353,,473,,,,
2007,601,796,401,424,407,967,386,,586,,,,
"acres, 2012","38,470","121,429","12,381","20,809","28,059","34,385","27,263",,"20,420",,,,
2007,"48,624","121,978","18,252","30,323","36,363","43,984","31,468",,"27,557",,,,
"Harvested cropland .................................................. farms, 2012",447,403,343,269,220,731,317,,422,,,,
2007,482,520,347,347,257,843,321,,483,,,,
"acres, 2012","33,938","104,241","10,408","15,844","20,968","26,237","19,002",,"16,497",,,,
2007,"31,440","91,842","11,283","17,331","21,252","25,985","18,253",,"16,862",,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",54,67,32,52,47,77,62,,55,,,,
2007,202,233,133,153,106,336,156,,235,,,,
"acres, 2012","2,867","4,118",984,"2,449","2,232","4,794","6,078",,"1,769",,,,
2007,"14,587","12,413","5,556","7,520","7,295","13,870","11,130",,"7,129",,,,
Item,Coffee,Crockett,Cumberland,Davidson,Decatur,DeKalb,Dickson,Dyer,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",895,369,764,360,405,637,"1,143",449,,,,,
2007,"1,008",470,842,515,455,722,"1,285",584,,,,,
"Land in farms  .............................................................. acres, 2012","144,840","130,550","129,110","34,823","77,269","89,551","148,512","211,702",,,,,
2007,"139,945","149,227","122,554","41,353","76,378","95,315","139,176","238,614",,,,,
"Average size of farm  ........................................... acres, 2012",162,354,169,97,191,141,130,471,,,,,
2007,139,318,146,80,168,132,108,409,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",895,369,764,360,405,637,"1,143",449,,,,,
2007,"1,008",470,842,515,455,722,"1,285",584,,,,,
"$1,000, 2012","512,672","370,196","491,492","216,621","166,102","287,366","494,407","530,938",,,,,
2007,"490,415","348,908","429,913","257,175","160,727","302,999","472,003","656,497",,,,,
"Average per farm ................................................ dollars, 2012","572,818","1,003,243","643,314","601,725","410,128","451,124","432,552","1,182,489",,,,,
2007,"486,522","742,358","510,586","499,368","353,247","419,666","367,318","1,124,138",,,,,
"Average per acre  ................................................ dollars, 2012","3,540","2,836","3,807","6,221","2,150","3,209","3,329","2,508",,,,,
2007,"3,504","2,338","3,508","6,219","2,104","3,179","3,391","2,751",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  .........................................................................",56,42,35,10,28,43,53,35,,,,,
"$50,000 to $99,999  ................................................................",92,59,34,18,47,55,75,50,,,,,
"$100,000 to $199,999  ............................................................",200,75,158,68,98,151,218,87,,,,,
"$200,000 to $499,999  ............................................................",328,81,275,127,162,232,511,131,,,,,
"$500,000 to $999,999  ............................................................",111,38,157,78,41,101,198,47,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  ......................................................",56,29,54,36,14,32,60,28,,,,,
"$2,000,000 to $4,999,999  ......................................................",38,24,39,22,13,20,27,45,,,,,
"$5,000,000 to $9,999,999  ......................................................",12,18,10,1,2,3,1,19,,,,,
"$10,000,000 or more  ..............................................................",2,3,2,-,-,-,-,7,,,,,
,,,,,,,,,,,,,
"Approximate land area  ................................................ acres, 2012","274,536","169,942","435,859","322,604","213,661","194,783","313,533","327,890",,,,,
"Proportion in farms  ........................................... percent, 2012",52.8,76.8,29.6,10.8,36.2,46,47.4,64.6,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,57,18,40,27,7,38,39,22,,,,,
acres,270,99,182,147,31,168,202,117,,,,,
10 to 49 acres  ............................................................... farms,367,114,261,150,83,199,381,133,,,,,
acres,"9,794","3,017","7,475","4,302",(D),(D),"10,577","3,456",,,,,
50 to 69 acres  ............................................................... farms,97,30,72,30,32,72,126,38,,,,,
acres,"5,589","1,697","4,276","1,668","1,850","4,177","7,271","2,183",,,,,
70 to 99 acres  ............................................................... farms,74,39,73,39,49,64,144,40,,,,,
acres,"6,177","3,290","6,021","3,183","4,064","5,224","12,066","3,333",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,82,32,91,33,45,71,121,33,,,,,
acres,"9,492","3,655","10,739","3,814","5,096","8,157","13,854","3,823",,,,,
140 to 179 acres  ........................................................... farms,55,17,46,24,44,53,78,22,,,,,
acres,"8,664","2,743","7,184","3,736","6,969","8,281","12,202","3,359",,,,,
180 to 219 acres  ........................................................... farms,19,16,31,17,31,35,75,15,,,,,
acres,"3,856","3,251","6,151","3,340","6,166","6,832","14,823","3,014",,,,,
220 to 259 acres  ........................................................... farms,15,7,34,11,29,27,39,7,,,,,
acres,"3,672","1,630","8,137","2,634","6,890","6,429","9,135","1,640",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,58,31,59,21,56,47,96,38,,,,,
acres,"20,942","11,706","22,262","6,721","18,778","14,998","33,869","13,710",,,,,
500 to 999 acres  ........................................................... farms,38,27,37,8,23,19,34,37,,,,,
acres,"24,850","18,728","24,759","5,278","14,255","12,661","22,193","27,047",,,,,
"1,000 to 1,999 acres ...................................................... farms",26,19,16,-,4,11,10,31,,,,,
acres,"31,414","25,994","21,344",-,"5,143","14,134","12,320","47,655",,,,,
"2,000 acres or more  ...................................................... farms",7,19,4,-,2,1,-,33,,,,,
acres,"20,120","54,740","10,580",-,(D),(D),-,"102,365",,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  ................................................................... farms,85,25,79,60,16,44,114,30,,,,,
acres,445,146,450,(D),60,213,593,188,,,,,
10 to 49 acres  ............................................................... farms,405,166,312,235,105,242,466,189,,,,,
acres,"10,218","4,572","8,122","5,713","3,109","6,504","12,899","4,990",,,,,
50 to 69 acres  ............................................................... farms,112,57,61,51,55,86,145,57,,,,,
acres,"6,358","3,239","3,533","2,865","3,237","4,893","8,375","3,193",,,,,
70 to 99 acres  ............................................................... farms,93,43,86,48,51,77,129,48,,,,,
acres,"7,512","3,712","7,031","3,969","4,235","6,481","10,703","3,905",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ........................................................... farms,87,53,64,42,59,74,124,50,,,,,
acres,"9,939","5,973","7,594","4,788","6,987","8,561","14,363","5,787",,,,,
140 to 179 acres  ........................................................... farms,36,23,59,21,42,42,81,33,,,,,
acres,"5,798","3,625","9,205","3,358","6,582","6,610","12,702","5,090",,,,,
180 to 219 acres  ........................................................... farms,29,7,37,13,17,36,55,17,,,,,
acres,"5,665","1,439","7,244","2,521","3,353","7,136","10,838","3,359",,,,,
220 to 259 acres  ........................................................... farms,20,3,27,11,26,40,43,11,,,,,
acres,"4,833",725,"6,504","2,628","6,230","9,334","10,270","2,622",,,,,
,,,,,,,,,,,,,
260 to 499 acres  ........................................................... farms,77,20,71,26,55,50,99,28,,,,,
acres,"25,648","7,444","26,349","9,047","19,578","17,618","34,248","9,710",,,,,
500 to 999 acres  ........................................................... farms,41,32,29,7,24,18,20,47,,,,,
acres,"26,896","20,876","20,782","5,110","14,869","11,983","12,803","34,254",,,,,
"1,000 to 1,999 acres ...................................................... farms",17,23,14,1,4,13,9,37,,,,,
acres,"20,022","34,689","18,915",(D),(D),"15,982","11,382","51,308",,,,,
"2,000 acres or more  ...................................................... farms",6,18,3,-,1,-,-,37,,,,,
acres,"16,611","62,787","6,825",-,(D),-,-,"114,208",,,,,
,,,,,,,,,,,,,
LAND IN FARMS ACCORDING TO USE,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Total cropland  ............................................................. farms, 2012",667,308,554,225,316,456,833,392,,,,,
2007,753,391,624,322,361,526,935,494,,,,,
"acres, 2012","78,978","112,118","49,479","11,282","25,021","33,510","46,140","188,343",,,,,
2007,"83,786","133,999","54,320","17,410","33,091","38,723","55,294","218,854",,,,,
"Harvested cropland  ................................................. farms, 2012",614,233,495,182,262,405,753,315,,,,,
2007,641,273,501,226,254,425,744,345,,,,,
"acres, 2012","74,092","100,513","35,813","8,065","16,926","27,639","34,723","180,767",,,,,
2007,"64,211","113,321","33,522","7,815","17,018","23,017","30,204","190,399",,,,,
,,,,,,,,,,,,,
Other pasture and grazing land that could have been,,,,,,,,,,,,,
used for crops without additional,,,,,,,,,,,,,
"improvements (see text)  ........................................ farms, 2012",72,32,68,23,52,51,117,24,,,,,
2007,249,85,231,123,139,172,365,127,,,,,
"acres, 2012","2,923","4,618","10,029","1,755","4,169","3,813","7,500","1,871",,,,,
2007,"14,421","7,830","15,633","6,599","9,438","12,020","18,714","10,487",,,,,
Item,Fayette,Fentress,Franklin,Gibson,Giles,Grainger,Greene,Grundy,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Farms  ....................................................................... number, 2012",745,536,861,830,"1,692",885,"2,529",278,,,,,
2007,952,623,"1,104","1,049","1,789","1,008","3,061",328,,,,,
"Land in farms  ............................................................... acres, 2012","229,022","90,842","125,339","286,178","270,089","85,222","226,003","33,075",,,,,
2007,"227,434","84,371","144,252","286,769","261,411","91,862","229,204","42,668",,,,,
"Average size of farm  ............................................ acres, 2012",307,169,146,345,160,96,89,119,,,,,
2007,239,135,131,273,146,91,75,130,,,,,
,,,,,,,,,,,,,
"Estimated market value of land and buildings  ............. farms, 2012",745,536,861,830,"1,692",885,"2,529",278,,,,,
2007,952,623,"1,104","1,049","1,789","1,008","3,061",328,,,,,
"$1,000, 2012","719,399","291,286","488,396","884,313","793,543","324,119","915,686","94,740",,,,,
2007,"734,892","294,680","538,402","734,115","827,124","347,772","978,616","138,323",,,,,
"Average per farm  ............................................... dollars, 2012","965,636","543,445","567,242","1,065,438","468,997","366,237","362,074","340,792",,,,,
2007,"771,945","473,001","487,683","699,824","462,339","345,012","319,705","421,717",,,,,
"Average per acre  ............................................... dollars, 2012","3,141","3,207","3,897","3,090","2,938","3,803","4,052","2,864",,,,,
2007,"3,231","3,493","3,732","2,560","3,164","3,786","4,270","3,242",,,,,
2012 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999  ..........................................................................",30,35,69,81,45,72,158,28,,,,,
"$50,000 to $99,999  .................................................................",35,44,83,133,138,90,205,38,,,,,
"$100,000 to $199,999  .............................................................",121,133,178,212,379,191,642,85,,,,,
"$200,000 to $499,999  .............................................................",273,182,296,230,718,354,"1,019",92,,,,,
"$500,000 to $999,999  .............................................................",132,84,131,57,271,123,357,19,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999  .......................................................",73,37,53,32,87,47,112,9,,,,,
"$2,000,000 to $4,999,999  .......................................................",51,15,40,30,43,7,34,6,,,,,
"$5,000,000 to $9,999,999  .......................................................",24,3,9,38,9,-,1,1,,,,,
"$10,000,000 or more  ..............................................................",6,3,2,17,2,1,1,-,,,,,
,,,,,,,,,,,,,
"Approximate land area ................................................. acres, 2012","451,060","319,117","354,917","385,757","390,994","179,584","398,183","230,750",,,,,
"Proportion in farms  ........................................... percent, 2012",50.8,28.5,35.3,74.2,69.1,47.5,56.8,14.3,,,,,
,,,,,,,,,,,,,
2012 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,14,32,60,33,44,35,139,14,,,,,
acres,54,189,311,156,198,(D),(D),66,,,,,
10 to 49 acres  ................................................................ farms,232,174,353,299,445,325,"1,121",103,,,,,
acres,"7,000","4,738","9,826","8,481","13,063","8,943","30,689",(D),,,,,
50 to 69 acres  ................................................................ farms,92,45,83,103,204,136,314,29,,,,,
acres,"5,272","2,622","4,847","5,950","11,791","7,938","18,173","1,653",,,,,
70 to 99 acres  ................................................................ farms,65,52,91,84,215,110,243,43,,,,,
acres,"5,335","4,191","7,346","6,868","18,087","9,120","20,215","3,470",,,,,
,,,,,,,,,,,,,
100 to 139 acres  ............................................................ farms,72,57,89,80,205,101,225,30,,,,,
acres,"8,381","6,420","10,426","8,803","23,836","11,766","26,211","3,410",,,,,
140 to 179 acres  ............................................................ farms,47,41,28,42,136,42,181,7,,,,,
acres,"7,418","6,174","4,273","6,585","21,478","6,532","28,288","1,079",,,,,
180 to 219 acres  ............................................................ farms,21,37,27,25,114,45,101,19,,,,,
acres,"4,236","7,269","5,303","4,937","22,601","8,837","19,928","3,782",,,,,
220 to 259 acres  ............................................................ farms,30,10,19,15,76,20,59,4,,,,,
acres,"7,168","2,375","4,509","3,578","18,113","4,804","14,165",(D),,,,,
,,,,,,,,,,,,,
260 to 499 acres  ............................................................ farms,77,53,65,39,179,64,111,22,,,,,
acres,"27,214","18,373","22,281","13,940","62,733","21,818","38,678","7,870",,,,,
500 to 999 acres  ............................................................ farms,48,18,23,35,46,5,25,3,,,,,
acres,"32,267","11,419","15,098","25,962","31,283","2,916","15,363","1,992",,,,,
"1,000 to 1,999 acres  ...................................................... farms",28,14,15,35,21,2,9,3,,,,,
acres,"36,861","18,202","20,493","51,901","27,158",(D),"11,173","4,100",,,,,
"2,000 acres or more ....................................................... farms",19,3,8,40,7,-,1,1,,,,,
acres,"87,816","8,870","20,626","149,017","19,748",-,(D),(D),,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres  .................................................................... farms,54,61,92,51,66,63,254,23,,,,,
acres,303,(D),423,256,376,(D),"1,404",109,,,,,
