Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,"ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 2,499 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (1,000,000 TO 2,499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 24,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (10,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (100,000 TO 249,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (2,500 TO 4,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (25,000 TO 49,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (250,000 TO 499,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (5,000 TO 9,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (50,000 TO 99,999 $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 OR MORE $)  -  <b>CV (%)</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>VALUE</b>","ECONOMIC CLASS: (500,000 TO 999,999 $)  -  <b>CV (%)</b>",NOT SPECIFIED  -  <b>VALUE</b>,NOT SPECIFIED  -  <b>CV (%)</b>
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"25,700",,"1,400",,,,,,"13,300",,,,"1,150",,,,,,,,950,,,,,,,,"1,500",,,
SURVEY,2016,YEAR,,STATE,ALABAMA,1,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,000",
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"270,000",, (D),,,,,,"450,000",,,,"70,000",,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"830,000",
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,711,, (D),,,,,,"1,552",,,,"1,400",,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,092",
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,380,, (D),,,,,,290,,,,50,,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,ALASKA,2,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760,
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"600,000",,"2,900,000",,,,,,"8,000,000",,,,"11,300,000",,,,,,,,"2,600,000",,,,,,,,"500,000",,,
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,900,000",
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,41,,"8,529",,,,,,"2,388",,,,"19,825",,,,,,,,"10,833",,,,,,,,"1,667",,,
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,321",
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"14,800",,340,,,,,,"3,350",,,,570,,,,,,,,240,,,,,,,,300,,,
SURVEY,2016,YEAR,,STATE,ARIZONA,4,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19,600",
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,700,000",,"5,500,000",,,,,,"3,600,000",,,,"1,200,000",,,,,,,,"600,000",,,,,,,,"1,100,000",,,
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,700,000",
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,79,,"1,571",,,,,,263,,,,632,,,,,,,,600,,,,,,,,786,,,
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319,
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"21,500",,"3,500",,,,,,"13,700",,,,"1,900",,,,,,,,"1,000",,,,,,,,"1,400",,,
SURVEY,2016,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,300,000",,"10,800,000",,,,,,"4,400,000",,,,"3,700,000",,,,,,,,"2,400,000",,,,,,,,"2,800,000",,,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25,400,000",
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,44,,"1,600",,,,,,168,,,,587,,,,,,,,511,,,,,,,,862,,,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"29,500",,"6,750",,,,,,"26,200",,,,"6,300",,,,,,,,"4,700",,,,,,,,"3,250",,,
SURVEY,2016,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76,700",
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,200,000",,"5,900,000",,,,,,"6,900,000",,,,"5,500,000",,,,,,,,"5,800,000",,,,,,,,"5,400,000",,,
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"31,700,000",
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,120,,"6,556",,,,,,690,,,,"2,200",,,,,,,,"4,462",,,,,,,,"6,750",,,
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,938,
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"18,300",,900,,,,,,"10,000",,,,"2,500",,,,,,,,"1,300",,,,,,,,800,,,
SURVEY,2016,YEAR,,STATE,COLORADO,8,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"33,800",
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"150,000",,"100,000",,,,,,"110,000",,,, (D),,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"440,000",
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,38,,"1,111",,,,,,71,,,, (D),,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"4,000",,90,,,,,,"1,550",,,, (D),,,,,,,, (D),,,,,,,, (D),,,
SURVEY,2016,YEAR,,STATE,CONNECTICUT,9,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000",
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"20,000",,"270,000",,,,,, (D),,,, (D),,,,,,,, (D),,,,,,,,"100,000",,,
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000",
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,23,,711,,,,,, (D),,,, (D),,,,,,,, (D),,,,,,,,270,,,
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,870,,380,,,,,, (D),,,, (D),,,,,,,, (D),,,,,,,,370,,,
SURVEY,2016,YEAR,,STATE,DELAWARE,10,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,500",
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,240,000",,"3,800,000",,,,,,"1,850,000",,,,"920,000",,,,,,,,"1,000,000",,,,,,,,"600,000",,,
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,410,000",
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,46,,"3,089",,,,,,128,,,,409,,,,,,,,769,,,,,,,,732,,,
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"27,000",,"1,230",,,,,,"14,500",,,,"2,250",,,,,,,,"1,300",,,,,,,,820,,,
SURVEY,2016,YEAR,,STATE,FLORIDA,12,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"47,100",
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"2,400,000",,"2,280,000",,,,,,"2,100,000",,,,"630,000",,,,,,,,"470,000",,,,,,,,"1,620,000",,,
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,500,000",
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,101,,991,,,,,,202,,,,420,,,,,,,,470,,,,,,,,559,,,
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"23,700",,"2,300",,,,,,"10,400",,,,"1,500",,,,,,,,"1,000",,,,,,,,"2,900",,,
SURVEY,2016,YEAR,,STATE,GEORGIA,13,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"41,800",
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"100,000",,"300,000",,,,,,"260,000",,,,"160,000",,,,,,,,"60,000",,,,,,,,"240,000",,,
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,120,000",
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,26,,"3,750",,,,,,100,,,,571,,,,,,,,500,,,,,,,,"3,429",,,
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"3,850",,80,,,,,,"2,600",,,,280,,,,,,,,120,,,,,,,,70,,,
SURVEY,2016,YEAR,,STATE,HAWAII,15,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,000",
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"800,000",,"3,900,000",,,,,,"2,050,000",,,,"1,650,000",,,,,,,,"1,400,000",,,,,,,,"2,000,000",,,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,800,000",
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,66,,"3,250",,,,,,293,,,,868,,,,,,,,"1,077",,,,,,,,"2,500",,,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"12,100",,"1,200",,,,,,"7,000",,,,"1,900",,,,,,,,"1,300",,,,,,,,800,,,
SURVEY,2016,YEAR,,STATE,IDAHO,16,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,300",
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,ECONOMIC CLASS,,,"1,200,000",,"9,000,000",,,,,,"2,900,000",,,,"3,100,000",,,,,,,,"4,400,000",,,,,,,,"6,100,000",,,
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - ACRES OPERATED,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,700,000",
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",ECONOMIC CLASS,,,42,,"2,000",,,,,,158,,,,365,,,,,,,,629,,,,,,,,"1,130",,,
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,"FARM OPERATIONS - AREA OPERATED, MEASURED IN ACRES / OPERATION",TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370,
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,ECONOMIC CLASS,,,"28,500",,"4,500",,,,,,"18,300",,,,"8,500",,,,,,,,"7,000",,,,,,,,"5,400",,,
SURVEY,2016,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,FARM OPERATIONS,FARM OPERATIONS - NUMBER OF OPERATIONS,TOTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,200",
