Program,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,       1997  -  <b>VALUE</b>,       1997  -  <b>CV (%)</b>,       2002  -  <b>VALUE</b>,       2002  -  <b>CV (%)</b>,       2007  -  <b>VALUE</b>,       2007  -  <b>CV (%)</b>,       2012  -  <b>VALUE</b>,       2012  -  <b>CV (%)</b>
CENSUS,END OF DEC,,STATE,ARKANSAS,5,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,522,399,000",,"21,225,836,000",,"32,505,792,000",,"36,415,777,000",2.8
CENSUS,END OF DEC,,STATE,ARKANSAS,5,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,157",,"1,469",,"2,343",,"2,637",1
CENSUS,END OF DEC,,STATE,ARKANSAS,5,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"354,095",,"447,104",,"658,732",,"807,965",4.5
CENSUS,END OF DEC,,STATE,CALIFORNIA,6,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"73,827,128,000",,"96,129,402,000",,"162,533,390,000",,"160,524,953,000",4.2
CENSUS,END OF DEC,,STATE,CALIFORNIA,6,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,643",,"3,526",,"6,408",,"6,278",2.4
CENSUS,END OF DEC,,STATE,CALIFORNIA,6,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"839,126",,"1,206,822",,"2,005,768",,"2,061,792",6.2
CENSUS,END OF DEC,,STATE,COLORADO,8,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"20,258,865,000",,"23,757,228,000",,"33,058,456,000",,"40,821,073,000",2.9
CENSUS,END OF DEC,,STATE,COLORADO,8,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,629,,756,,"1,046",,"1,280",2.8
CENSUS,END OF DEC,,STATE,COLORADO,8,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"671,446",,"757,613",,"892,170",,"1,128,277",2.6
CENSUS,END OF DEC,,STATE,CONNECTICUT,9,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,532,164,000",,"3,533,470,000",,"5,137,872,000",,"4,837,637,000",12.2
CENSUS,END OF DEC,,STATE,CONNECTICUT,9,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,270",,"9,491",,"12,667",,"11,082",1.9
CENSUS,END OF DEC,,STATE,CONNECTICUT,9,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"516,347",,"840,302",,"1,045,133",,"809,375",5.3
CENSUS,END OF DEC,,STATE,DELAWARE,10,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,539,042,000",,"2,343,953,000",,"5,279,399,000",,"4,153,426,000",14.5
CENSUS,END OF DEC,,STATE,DELAWARE,10,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,687",,"4,054",,"10,347",,"8,166",2.3
CENSUS,END OF DEC,,STATE,DELAWARE,10,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"576,420",,"980,323",,"2,073,605",,"1,694,584",14.3
CENSUS,END OF DEC,,STATE,FLORIDA,12,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,756,574,000",,"29,330,433,000",,"52,053,543,000",,"49,661,974,000",5.6
CENSUS,END OF DEC,,STATE,FLORIDA,12,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,344",,"2,836",,"5,639",,"5,201",1.7
CENSUS,END OF DEC,,STATE,FLORIDA,12,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"540,572",,"665,376",,"1,096,718",,"1,040,259",6.4
CENSUS,END OF DEC,,STATE,GEORGIA,13,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,884,236,000",,"22,552,975,000",,"31,635,808,000",,"29,676,310,000",2.2
CENSUS,END OF DEC,,STATE,GEORGIA,13,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,550",,"2,112",,"3,117",,"3,085",0.5
CENSUS,END OF DEC,,STATE,GEORGIA,13,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"362,690",,"457,427",,"661,201",,"702,282",2.5
CENSUS,END OF DEC,,STATE,HAWAII,15,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,460,472,000",,"4,583,552,000",,"8,620,668,000",,"10,229,393,000",6.7
CENSUS,END OF DEC,,STATE,HAWAII,15,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,405",,"3,507",,"7,688",,"9,058",2.6
CENSUS,END OF DEC,,STATE,HAWAII,15,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"632,281",,"842,875",,"1,146,213",,"1,461,342",6.5
CENSUS,END OF DEC,,STATE,IDAHO,16,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,483,505,000",,"15,342,391,000",,"22,674,602,000",,"26,129,772,000",5.2
CENSUS,END OF DEC,,STATE,IDAHO,16,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,035",,"1,270",,"1,972",,"2,222",1.6
CENSUS,END OF DEC,,STATE,IDAHO,16,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"487,885",,"613,303",,"894,497",,"1,052,941",3.3
CENSUS,END OF DEC,,STATE,ILLINOIS,17,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"58,237,784,000",,"66,667,341,000",,"101,538,246,000",,"169,830,110,000",1.6
CENSUS,END OF DEC,,STATE,ILLINOIS,17,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,136",,"2,425",,"3,792",,"6,305",0.3
CENSUS,END OF DEC,,STATE,ILLINOIS,17,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"736,255",,"913,251",,"1,321,080",,"2,261,778",2.3
CENSUS,END OF DEC,,STATE,INDIANA,18,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,426,158,000",,"38,441,073,000",,"52,936,772,000",,"78,817,157,000",1.3
CENSUS,END OF DEC,,STATE,INDIANA,18,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,097",,"2,567",,"3,583",,"5,354",0.6
CENSUS,END OF DEC,,STATE,INDIANA,18,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"486,171",,"637,645",,"868,699",,"1,342,826",2.9
CENSUS,END OF DEC,,STATE,IOWA,19,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"54,119,166,000",,"64,154,298,000",,"104,186,583,000",,"195,641,346,000",1.4
CENSUS,END OF DEC,,STATE,IOWA,19,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,698",,"2,005",,"3,388",,"6,389",0.8
CENSUS,END OF DEC,,STATE,IOWA,19,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"559,678",,"707,730",,"1,122,023",,"2,207,220",1.3
CENSUS,END OF DEC,,STATE,KANSAS,20,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"27,331,219,000",,"32,581,256,000",,"42,204,526,000",,"75,280,407,000",3
CENSUS,END OF DEC,,STATE,KANSAS,20,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,586,,687,,911,,"1,632",1.8
CENSUS,END OF DEC,,STATE,KANSAS,20,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"417,704",,"505,999",,"644,039",,"1,218,662",2.8
CENSUS,END OF DEC,,STATE,KENTUCKY,21,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"20,325,034,000",,"25,462,631,000",,"37,532,557,000",,"39,459,278,000",3
CENSUS,END OF DEC,,STATE,KENTUCKY,21,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,470",,"1,824",,"2,682",,"3,024",1.2
CENSUS,END OF DEC,,STATE,KENTUCKY,21,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"222,914",,"294,056",,"440,213",,"512,033",1.3
CENSUS,END OF DEC,,STATE,LOUISIANA,22,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,306,457,000",,"12,163,119,000",,"16,686,859,000",,"20,175,806,000",8.7
CENSUS,END OF DEC,,STATE,LOUISIANA,22,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,236",,"1,534",,"2,058",,"2,554",1.7
CENSUS,END OF DEC,,STATE,LOUISIANA,22,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"338,828",,"444,007",,"554,270",,"718,179",6.6
CENSUS,END OF DEC,,STATE,MAINE,23,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,702,889,000",,"2,297,877,000",,"2,968,067,000",,"3,356,102,000",11.3
CENSUS,END OF DEC,,STATE,MAINE,23,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,267",,"1,637",,"2,203",,"2,308",4.5
CENSUS,END OF DEC,,STATE,MAINE,23,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"230,120",,"322,690",,"364,807",,"410,633",3.7
CENSUS,END OF DEC,,STATE,MARYLAND,24,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"7,122,667,000",,"8,452,963,000",,"14,432,211,000",,"14,073,175,000",6.6
CENSUS,END OF DEC,,STATE,MARYLAND,24,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"3,247",,"4,084",,"7,034",,"6,930",3.3
CENSUS,END OF DEC,,STATE,MARYLAND,24,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"537,600",,"694,061",,"1,124,529",,"1,148,268",4.5
CENSUS,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"3,058,549,000",,"4,589,677,000",,"6,376,531,000",,"5,460,071,000",9.5
CENSUS,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"5,543",,"9,234",,"12,313",,"10,430",2.8
CENSUS,END OF DEC,,STATE,MASSACHUSETTS,25,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"418,750",,"755,254",,"829,090",,"704,071",9.6
CENSUS,END OF DEC,,STATE,MICHIGAN,26,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,958,222,000",,"27,143,604,000",,"34,199,659,000",,"39,988,344,000",2.2
CENSUS,END OF DEC,,STATE,MICHIGAN,26,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,704",,"2,667",,"3,409",,"4,020",0.5
CENSUS,END OF DEC,,STATE,MICHIGAN,26,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"335,580",,"509,299",,"610,556",,"766,148",2.3
CENSUS,END OF DEC,,STATE,MINNESOTA,27,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"31,380,299,000",,"41,776,544,000",,"69,164,551,000",,"109,879,162,000",2.1
CENSUS,END OF DEC,,STATE,MINNESOTA,27,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,148",,"1,513",,"2,569",,"4,220",1.3
CENSUS,END OF DEC,,STATE,MINNESOTA,27,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"398,576",,"517,132",,"853,968",,"1,474,057",2.8
CENSUS,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"12,615,933,000",,"15,633,797,000",,"21,418,146,000",,"24,848,149,000",2.2
CENSUS,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,075",,"1,381",,"1,870",,"2,273",0.5
CENSUS,END OF DEC,,STATE,MISSISSIPPI,28,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"299,460",,"370,689",,"510,454",,"652,593",2.5
CENSUS,END OF DEC,,STATE,MISSOURI,29,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"32,694,339,000",,"45,298,629,000",,"63,237,014,000",,"78,885,012,000",1.1
CENSUS,END OF DEC,,STATE,MISSOURI,29,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,084",,"1,508",,"2,179",,"2,791",0.3
CENSUS,END OF DEC,,STATE,MISSOURI,29,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"294,636",,"424,347",,"586,478",,"795,444",1.1
CENSUS,END OF DEC,,STATE,MONTANA,30,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"17,962,049,000",,"23,280,911,000",,"47,567,755,000",,"46,901,313,000",3
CENSUS,END OF DEC,,STATE,MONTANA,30,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,309,,386,,775,,785,1.3
CENSUS,END OF DEC,,STATE,MONTANA,30,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"650,281",,"835,250",,"1,611,155",,"1,674,568",3.9
CENSUS,END OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"30,031,036,000",,"35,726,993,000",,"52,692,729,000",,"107,896,486,000",1.5
CENSUS,END OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,658,,776,,"1,159",,"2,380",1.5
CENSUS,END OF DEC,,STATE,NEBRASKA,31,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"550,705",,"723,863",,"1,104,392",,"2,159,268",4.2
CENSUS,END OF DEC,,STATE,NEVADA,32,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"2,540,794,000",,"2,849,414,000",,"3,596,558,000",,"5,480,174,000",25.4
CENSUS,END OF DEC,,STATE,NEVADA,32,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,398,,446,,613,,927,12.4
CENSUS,END OF DEC,,STATE,NEVADA,32,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"794,743",,"953,619",,"1,148,693",,"1,324,673",10
CENSUS,END OF DEC,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"1,160,827,000",,"1,354,386,000",,"2,326,230,000",,"1,975,281,000",11.4
CENSUS,END OF DEC,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,448",,"3,131",,"4,929",,"4,167",2.2
CENSUS,END OF DEC,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"295,677",,"400,943",,"558,385",,"449,848",3.9
CENSUS,END OF DEC,,STATE,NEW JERSEY,34,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"5,746,763,000",,"7,358,731,000",,"11,255,226,000",,"9,147,216,000",3.6
CENSUS,END OF DEC,,STATE,NEW JERSEY,34,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"6,710",,"9,245",,"15,346",,"12,792",1.8
CENSUS,END OF DEC,,STATE,NEW JERSEY,34,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"572,273",,"741,808",,"1,089,883",,"1,008,402",2.4
CENSUS,END OF DEC,,STATE,NEW MEXICO,35,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"9,691,206,000",,"10,631,082,000",,"14,568,969,000",,"18,668,924,000",6.6
CENSUS,END OF DEC,,STATE,NEW MEXICO,35,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,208,,234,,337,,432,4
CENSUS,END OF DEC,,STATE,NEW MEXICO,35,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"542,530",,"698,908",,"696,081",,"755,185",6.7
CENSUS,END OF DEC,,STATE,NEW YORK,36,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"10,432,609,000",,"12,870,727,000",,"16,322,415,000",,"18,677,798,000",6
CENSUS,END OF DEC,,STATE,NEW YORK,36,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"1,327",,"1,708",,"2,275",,"2,600",1
CENSUS,END OF DEC,,STATE,NEW YORK,36,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"272,670",,"345,504",,"449,010",,"525,587",3.7
CENSUS,END OF DEC,,STATE,NORTH CAROLINA,37,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $",TOTAL,NOT SPECIFIED,"20,673,172,000",,"27,977,090,000",,"34,715,171,000",,"36,505,652,000",5.3
CENSUS,END OF DEC,,STATE,NORTH CAROLINA,37,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",TOTAL,NOT SPECIFIED,"2,127",,"3,088",,"4,096",,"4,338",0.9
CENSUS,END OF DEC,,STATE,NORTH CAROLINA,37,,,,,,,0,,AG LAND,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",TOTAL,NOT SPECIFIED,"349,841",,"518,719",,"656,080",,"726,944",3.4
