Item,Tennessee,Anderson,Bedford,Benton,Bledsoe,Blount,Bradley,Campbell,,,,,
FARMS AND LAND IN FARMS,,,,,,,,,,,,,
,,,,,,,,,,,,,
2002,"650,266","329,687","335,508","459,366","250,396","211,602","223,653","204,017",,,,,
"Average per acre ................................................... dollars, 2007","3,231","3,493","3,732","2,560","3,164","3,786","4,270","3,242",,,,,
2002,"2,031","2,253","2,681","1,594","2,093","2,064","2,941","2,136",,,,,
2007 farms by value group:,,,,,,,,,,,,,
"$1 to $49,999 ..............................................................................",47,33,87,151,113,94,218,43,,,,,
"$50,000 to $99,999 .....................................................................",85,66,109,134,148,94,433,30,,,,,
"$100,000 to $199,999 .................................................................",158,152,270,240,374,220,756,76,,,,,
"$200,000 to $499,999 .................................................................",324,191,371,292,674,383,"1,088",112,,,,,
"$500,000 to $999,999 .................................................................",196,109,151,97,293,164,426,39,,,,,
,,,,,,,,,,,,,
"$1,000,000 to $1,999,999 ...........................................................",75,55,72,54,132,43,112,16,,,,,
"$2,000,000 to $4,999,999 ...........................................................",51,15,34,51,46,10,27,8,,,,,
"$5,000,000 to $9,999,999 ...........................................................",8,1,7,19,8,-,1,4,,,,,
"$10,000,000 or more ..................................................................",8,1,3,11,1,-,-,-,,,,,
,,,,,,,,,,,,,
"pproximate land area .....................................................acres, 2007","450,879","319,128","354,891","385,690","391,004","179,413","397,884","230,757",,,,,
"Proportion in farms ...............................................percent, 2007",50.4,26.4,40.6,74.4,66.9,51.2,57.6,18.5,,,,,
,,,,,,,,,,,,,
2007 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,54,61,92,51,66,63,254,23,,,,,
acres,303,(D),423,256,376,(D),"1,404",109,,,,,
10 to 49 acres ....................................................................farms,311,230,470,334,547,397,"1,484",131,,,,,
acres,"8,398","5,646","12,312","9,319","14,690","10,841","39,481","3,378",,,,,
50 to 69 acres ....................................................................farms,117,63,108,166,200,137,347,40,,,,,
acres,"6,689","3,728","6,360","9,551","11,467","7,856","20,086","2,375",,,,,
70 to 99 acres ....................................................................farms,94,49,133,140,234,97,303,39,,,,,
acres,"7,780","3,997","10,892","11,531","19,242","7,892","24,883","3,183",,,,,
,,,,,,,,,,,,,
100 to 139 acres ................................................................farms,81,51,89,94,209,96,242,28,,,,,
acres,"9,131","5,794","10,255","10,613","24,256","11,182","28,509","3,139",,,,,
140 to 179 acres ................................................................farms,57,40,36,49,120,69,145,15,,,,,
acres,"8,915","6,247","5,486","7,666","18,993","10,921","22,503","2,342",,,,,
180 to 219 acres ................................................................farms,45,33,26,26,81,60,99,7,,,,,
acres,"9,153","6,474","5,057","5,138","16,030","11,788","19,504","1,354",,,,,
220 to 259 acres ................................................................farms,34,17,23,14,77,21,42,4,,,,,
acres,"8,072","4,008","5,409","3,294","18,263","5,135","9,865",951,,,,,
,,,,,,,,,,,,,
260 to 499 acres ................................................................farms,67,44,68,65,177,60,111,20,,,,,
acres,"22,971","14,865","24,496","22,428","62,770","20,604","38,623","7,175",,,,,
500 to 999 acres ................................................................farms,43,25,35,38,56,7,29,16,,,,,
acres,"28,390","17,460","22,880","26,661","37,910","4,406","18,555","11,118",,,,,
"1,000 to 1,999 acres ..........................................................farms",30,8,18,35,15,1,5,5,,,,,
acres,"36,288","10,420","26,016","51,305","20,054",(D),"5,791","7,544",,,,,
"2,000 acres or more ...........................................................farms",19,2,6,37,7,-,-,-,,,,,
acres,"81,344",(D),"14,666","129,007","17,360",-,-,-,,,,,
2002 size of farm:,,,,,,,,,,,,,
1 to 9 acres ........................................................................farms,20,45,101,45,30,126,345,46,,,,,
acres,120,260,520,252,174,(D),(D),234,,,,,
